emp_no,title,salary
12274,Engineer,40000
12276,Senior Engineer,59844
12303,Senior Staff,40000
12308,Senior Staff,58741
12311,Senior Engineer,40000
12312,Engineer,52344
12327,Senior Engineer,67449
12335,Senior Staff,40000
12341,Senior Engineer,40000
12343,Senior Staff,52134
12365,Senior Engineer,40000
12373,Senior Staff,75986
12395,Senior Staff,66909
12399,Senior Staff,85582
12411,Senior Staff,97610
12413,Senior Engineer,53179
12415,Staff,53615
12417,Senior Engineer,67342
12422,Senior Staff,71376
12451,Senior Engineer,40000
12454,Staff,41347
12464,Staff,50448
12475,Senior Engineer,40000
12478,Senior Staff,50404
12487,Senior Staff,40000
12489,Senior Engineer,63306
12490,Senior Engineer,40000
12493,Senior Engineer,40000
12497,Senior Staff,81191
12501,Senior Staff,76082
12504,Engineer,40000
12514,Engineer,54241
12528,Senior Staff,40000
12534,Senior Engineer,66715
12541,Senior Staff,93105
12542,Senior Staff,44176
12551,Senior Engineer,40000
12553,Senior Staff,40000
12557,Senior Engineer,41840
12589,Senior Engineer,59441
12596,Senior Staff,40000
12601,Senior Engineer,41714
12608,Senior Staff,40000
12635,Senior Engineer,40000
12637,Senior Staff,44370
12638,Engineer,56677
12642,Senior Staff,68271
12651,Senior Staff,75150
12662,Engineer,69016
12663,Technique Leader,49966
12664,Staff,40000
12678,Engineer,44529
12689,Senior Engineer,59689
12691,Senior Engineer,48493
12694,Engineer,53019
12697,Senior Staff,40000
12709,Senior Engineer,45510
12717,Staff,53194
12722,Senior Staff,62325
12726,Senior Engineer,61177
12729,Senior Engineer,51796
12730,Technique Leader,40000
12731,Senior Staff,40000
12732,Senior Staff,74436
12734,Senior Engineer,40000
12755,Senior Staff,40196
12759,Senior Staff,49963
12773,Senior Engineer,65556
12775,Engineer,69805
12790,Senior Staff,87760
12795,Senior Staff,56969
12798,Senior Staff,81145
12803,Senior Staff,91789
12815,Senior Staff,65073
12816,Senior Engineer,66194
12819,Senior Engineer,48455
12846,Senior Staff,63962
12848,Engineer,40000
12853,Senior Staff,47160
12863,Senior Engineer,62803
12872,Senior Staff,56040
12876,Engineer,42277
12879,Senior Engineer,40000
12888,Senior Staff,41673
12890,Senior Staff,66803
12893,Senior Staff,50803
12895,Senior Engineer,40000
12905,Senior Engineer,58659
12922,Senior Staff,69441
12926,Senior Staff,68314
12937,Staff,59206
12940,Senior Engineer,49760
12941,Senior Engineer,67069
12949,Senior Engineer,40000
12951,Senior Staff,60566
12972,Staff,40000
12974,Senior Staff,93034
12977,Senior Engineer,61326
12983,Staff,57252
13012,Senior Engineer,40000
13030,Senior Staff,51770
13046,Senior Staff,40000
13047,Senior Engineer,52323
13049,Staff,60266
13062,Technique Leader,55665
13075,Senior Staff,40000
13076,Engineer,50582
13096,Senior Engineer,52544
13103,Senior Engineer,40000
13113,Staff,66941
13124,Senior Staff,73785
13133,Senior Staff,67777
13134,Senior Engineer,51227
13144,Senior Staff,52825
13146,Senior Staff,61398
13147,Senior Staff,77429
13156,Senior Engineer,48285
13165,Senior Engineer,42796
13168,Senior Engineer,49210
13170,Senior Staff,49012
13171,Senior Engineer,40000
13173,Senior Staff,46354
13179,Staff,90233
13182,Engineer,46832
13186,Senior Staff,93138
13192,Technique Leader,43986
13202,Senior Staff,51915
13210,Senior Staff,83961
13213,Senior Staff,61131
13221,Senior Staff,47724
13232,Technique Leader,40000
13233,Senior Engineer,49414
13238,Senior Staff,40000
13240,Senior Engineer,49018
13243,Staff,67269
13250,Senior Engineer,47829
13272,Senior Staff,40000
13276,Senior Staff,65836
13288,Senior Staff,40000
13291,Senior Engineer,54720
13299,Staff,40000
13302,Senior Engineer,40000
13305,Senior Staff,104969
13315,Senior Engineer,40000
13332,Senior Engineer,40000
13333,Engineer,50997
13341,Senior Staff,40000
13343,Senior Staff,40000
13368,Staff,52872
13371,Senior Engineer,40000
13373,Senior Staff,82749
13385,Senior Staff,40000
13386,Technique Leader,91420
13389,Senior Staff,40000
13392,Senior Staff,69221
13396,Senior Staff,40000
13402,Engineer,40000
13405,Senior Staff,60799
13407,Senior Engineer,60348
13408,Senior Engineer,52479
13415,Technique Leader,61838
13422,Senior Engineer,59466
13442,Senior Staff,40000
13443,Senior Engineer,40000
13445,Engineer,53194
13451,Senior Staff,40000
13457,Senior Engineer,40812
13458,Senior Engineer,41375
13463,Senior Engineer,40000
13465,Engineer,49821
13493,Senior Engineer,40000
13504,Engineer,41895
13521,Engineer,40000
13524,Senior Staff,52849
13535,Senior Engineer,40000
13546,Senior Engineer,50295
13549,Technique Leader,40000
13552,Senior Staff,73346
13560,Engineer,40000
13576,Senior Staff,73022
13578,Technique Leader,62885
13605,Senior Staff,70404
13621,Engineer,73192
13624,Senior Staff,40000
13629,Senior Engineer,40000
13648,Technique Leader,47723
13651,Engineer,62278
13653,Senior Staff,53242
13670,Senior Engineer,40000
13680,Staff,46968
13684,Senior Staff,79100
13685,Senior Engineer,48322
13697,Technique Leader,40000
13698,Engineer,57541
13704,Senior Engineer,40000
13721,Senior Staff,64754
13727,Staff,50798
13738,Engineer,48349
13747,Senior Staff,47752
13766,Senior Staff,43748
13768,Staff,40000
13769,Senior Staff,61025
13775,Senior Staff,70161
13786,Senior Staff,74494
13787,Senior Engineer,40000
13788,Assistant Engineer,40000
13792,Senior Staff,59127
13795,Technique Leader,49749
13796,Engineer,50962
13801,Staff,64182
13809,Senior Staff,43735
13815,Senior Engineer,40000
13825,Technique Leader,54704
13841,Technique Leader,52277
13842,Senior Staff,40000
13846,Senior Staff,61097
13853,Senior Staff,61615
13859,Senior Engineer,40000
13883,Senior Engineer,40000
13884,Engineer,44785
13894,Engineer,48958
13904,Senior Engineer,73885
13914,Senior Staff,41526
13916,Senior Staff,90797
13930,Senior Staff,78867
13934,Senior Engineer,46507
13942,Technique Leader,40000
13951,Senior Staff,82054
13960,Senior Staff,43204
13962,Senior Engineer,67965
13966,Senior Staff,40000
13969,Technique Leader,60392
13979,Senior Engineer,50381
13986,Staff,46099
13990,Engineer,52723
13992,Senior Staff,81318
13999,Senior Staff,40000
14005,Technique Leader,40000
14015,Senior Engineer,63084
14034,Senior Staff,69700
14041,Senior Staff,63235
14045,Staff,40000
14067,Senior Engineer,44669
14088,Senior Staff,44821
14102,Engineer,48200
14107,Senior Staff,82396
14111,Senior Staff,52696
14113,Engineer,46841
14118,Senior Staff,46248
14139,Engineer,40000
14167,Senior Engineer,40000
14191,Senior Engineer,40155
14197,Senior Staff,52474
14209,Senior Staff,40000
14220,Senior Engineer,68017
14224,Staff,40000
14232,Senior Engineer,50568
14236,Senior Staff,40000
14237,Senior Engineer,57219
14242,Senior Staff,40000
14254,Engineer,50266
14257,Staff,40000
14275,Senior Staff,94782
14287,Senior Staff,45483
14289,Assistant Engineer,60863
14290,Senior Engineer,78736
14292,Senior Staff,41846
14293,Senior Staff,40000
14298,Senior Engineer,40000
14310,Senior Staff,40000
14320,Senior Engineer,40000
14322,Engineer,50363
14323,Staff,40000
14340,Senior Engineer,42858
14344,Technique Leader,41979
14345,Engineer,61910
14354,Senior Staff,40000
14360,Senior Staff,43476
14372,Engineer,57667
14380,Senior Staff,47819
14384,Technique Leader,58260
14422,Senior Engineer,59001
14434,Technique Leader,40000
14439,Senior Engineer,80654
14441,Engineer,40000
14460,Senior Engineer,56267
14478,Senior Staff,40000
14481,Senior Engineer,40000
14483,Senior Engineer,40000
14486,Senior Engineer,40000
14498,Senior Staff,40000
14501,Technique Leader,63646
14509,Senior Staff,40000
14513,Senior Staff,83273
14514,Senior Engineer,40000
14515,Senior Engineer,61645
14516,Senior Staff,73262
14518,Engineer,64238
14522,Senior Staff,40000
14533,Senior Engineer,48376
14537,Senior Engineer,48332
14539,Engineer,42975
14552,Senior Engineer,40000
14556,Engineer,40000
14560,Senior Engineer,62770
14581,Senior Engineer,59499
14582,Senior Engineer,40000
14600,Senior Staff,41352
14603,Senior Engineer,55369
14607,Staff,67813
14620,Senior Engineer,53303
14621,Senior Staff,66404
14632,Senior Engineer,40000
14639,Senior Staff,79405
14640,Senior Engineer,42662
14642,Senior Engineer,54553
14645,Senior Engineer,45647
14648,Senior Staff,89209
14655,Senior Staff,65742
14659,Senior Engineer,40926
14675,Senior Staff,40000
14677,Senior Engineer,40000
14683,Senior Engineer,41107
14690,Senior Engineer,40000
14693,Senior Staff,59960
14710,Senior Staff,40341
14713,Technique Leader,58566
14722,Staff,72726
14723,Senior Staff,40000
14724,Senior Staff,66530
14774,Staff,40000
14780,Senior Engineer,51232
14785,Senior Engineer,46936
14793,Engineer,47045
14814,Senior Staff,40000
14817,Senior Engineer,41203
14821,Engineer,42545
14839,Senior Engineer,40000
14846,Senior Engineer,40002
14853,Senior Engineer,58311
14854,Senior Staff,48875
14865,Senior Staff,61175
14871,Staff,72116
14877,Senior Engineer,40000
14879,Senior Engineer,54322
14888,Senior Staff,60916
14899,Senior Staff,64365
14905,Engineer,41067
14906,Senior Staff,54758
14908,Senior Engineer,40000
14909,Senior Engineer,40000
14911,Senior Engineer,62738
14914,Engineer,40000
14915,Engineer,40733
14923,Technique Leader,40000
14928,Senior Staff,53377
14941,Senior Engineer,43608
14942,Senior Engineer,40000
14949,Senior Engineer,44930
14954,Senior Engineer,43510
14955,Engineer,45564
14959,Technique Leader,48289
14966,Staff,80123
14971,Senior Staff,55187
14983,Senior Staff,86754
14987,Engineer,40719
14993,Senior Engineer,45407
15005,Senior Engineer,50368
15016,Senior Staff,40000
15018,Senior Staff,40668
15019,Senior Engineer,41721
15024,Staff,40000
15029,Senior Staff,40000
15030,Senior Staff,40000
15036,Senior Engineer,40000
15049,Senior Staff,40000
15052,Senior Engineer,40630
15055,Senior Staff,40000
15066,Senior Engineer,43455
15069,Technique Leader,40000
15071,Senior Staff,97484
15075,Senior Engineer,40000
15077,Senior Engineer,40000
15082,Technique Leader,63024
15087,Senior Engineer,40000
15089,Senior Engineer,48594
15092,Senior Staff,40000
15102,Senior Engineer,40374
15105,Senior Staff,75800
15113,Staff,62081
15114,Engineer,40000
15133,Engineer,40000
15134,Senior Staff,62752
15145,Senior Engineer,51443
15151,Senior Staff,61253
15176,Senior Staff,98401
15193,Senior Engineer,47039
15196,Senior Engineer,55824
15199,Senior Engineer,49278
15202,Engineer,40000
15205,Engineer,43795
15208,Senior Staff,44109
15218,Senior Staff,44614
15228,Senior Staff,40000
15230,Senior Engineer,70187
15234,Senior Engineer,47654
15237,Senior Engineer,40000
15243,Senior Staff,41015
15248,Senior Staff,64696
15253,Senior Engineer,40396
15258,Engineer,40000
15269,Senior Engineer,60930
15271,Senior Staff,88026
15278,Staff,40000
15292,Senior Staff,87586
15295,Engineer,54607
15312,Engineer,40508
15324,Senior Engineer,40000
15329,Engineer,41839
15330,Senior Staff,53020
15334,Engineer,40000
15337,Senior Engineer,40000
15343,Senior Engineer,48936
15354,Staff,40782
15365,Senior Engineer,41309
15369,Staff,81954
15370,Senior Engineer,67631
15372,Senior Staff,79245
15375,Senior Staff,65920
15377,Senior Engineer,50274
15382,Senior Staff,66083
15386,Staff,77209
15392,Assistant Engineer,55638
15408,Staff,40000
15410,Senior Staff,58123
15412,Senior Engineer,62190
15438,Senior Staff,43326
15441,Senior Staff,40000
15452,Engineer,40000
15454,Senior Staff,57571
15470,Engineer,40693
15474,Senior Staff,90430
15479,Senior Engineer,40000
15480,Senior Engineer,47645
15504,Engineer,40000
15505,Senior Engineer,56848
15510,Senior Engineer,48661
15511,Senior Staff,76880
15518,Senior Engineer,55563
15525,Senior Engineer,40000
15534,Senior Staff,63090
15539,Senior Staff,47803
15543,Senior Engineer,40000
15545,Engineer,40000
15548,Senior Engineer,48171
15563,Senior Staff,56239
15565,Senior Staff,73532
15566,Senior Staff,61655
15569,Senior Staff,40000
15600,Senior Engineer,40000
15601,Senior Staff,83263
15623,Senior Engineer,52506
15641,Senior Staff,56588
15651,Senior Engineer,50313
15656,Senior Staff,66141
15666,Assistant Engineer,40000
15682,Senior Engineer,40000
15687,Senior Staff,62333
15703,Engineer,40000
15708,Senior Staff,85063
15714,Engineer,40000
15715,Staff,40000
15726,Senior Staff,70522
15728,Senior Staff,40000
15739,Engineer,54605
15740,Senior Staff,57994
15750,Senior Engineer,40000
15753,Senior Engineer,40000
15762,Staff,56568
15765,Senior Engineer,40000
15767,Senior Engineer,40000
15769,Staff,61575
15788,Senior Engineer,53521
15799,Senior Staff,64458
15809,Senior Staff,50619
15819,Senior Staff,63847
15821,Engineer,40000
15846,Technique Leader,40000
15861,Senior Staff,50890
15866,Senior Engineer,40000
15869,Senior Engineer,40000
15876,Senior Engineer,51140
15877,Engineer,40000
15880,Technique Leader,40000
15889,Senior Engineer,63393
15892,Senior Engineer,60367
15901,Senior Engineer,40000
15902,Senior Staff,40000
15905,Senior Engineer,47421
15911,Senior Engineer,45602
15912,Senior Staff,93126
15920,Engineer,48494
15934,Assistant Engineer,50454
15938,Senior Staff,69499
15942,Senior Engineer,50486
15943,Senior Engineer,40000
15945,Senior Engineer,57717
15946,Technique Leader,70769
15948,Senior Engineer,40000
15955,Senior Engineer,45283
15971,Senior Engineer,42963
15977,Senior Staff,44282
15978,Engineer,40000
15993,Senior Engineer,45611
16000,Senior Engineer,40000
16018,Senior Engineer,52560
16019,Senior Engineer,40000
16025,Senior Engineer,84433
16028,Senior Engineer,53714
16033,Senior Staff,40000
16052,Senior Engineer,40000
16066,Senior Staff,74757
16068,Senior Staff,53031
16076,Engineer,47061
16077,Senior Engineer,49020
16086,Senior Engineer,42903
16094,Senior Engineer,40000
16099,Senior Staff,40000
16105,Senior Staff,55207
16126,Staff,68863
16130,Engineer,40000
16134,Senior Engineer,40000
16138,Senior Staff,67593
16146,Senior Engineer,53931
16154,Technique Leader,40000
16164,Senior Engineer,67467
16185,Technique Leader,44003
16192,Senior Engineer,40000
16201,Technique Leader,53081
16203,Engineer,40000
16212,Engineer,40000
16222,Engineer,40000
16227,Senior Engineer,58619
16229,Senior Staff,40000
16230,Senior Staff,40000
16233,Senior Staff,54684
16234,Senior Staff,40000
16237,Senior Engineer,83471
16246,Engineer,40000
16252,Senior Engineer,64982
16255,Senior Engineer,40000
16266,Senior Staff,57642
16272,Senior Engineer,40000
16274,Senior Staff,65521
16302,Engineer,40000
16324,Staff,40000
16331,Senior Staff,63123
16337,Senior Engineer,40000
16341,Senior Staff,40000
16355,Senior Staff,80403
16360,Senior Engineer,47148
16364,Senior Staff,73503
16365,Senior Staff,40000
16373,Senior Staff,98832
16377,Engineer,62147
16380,Senior Staff,42820
16382,Senior Engineer,66986
16383,Senior Engineer,55977
16388,Senior Staff,40000
16396,Senior Staff,77582
16397,Senior Staff,66757
16398,Senior Staff,71254
16399,Senior Staff,59384
16404,Senior Engineer,45689
16412,Technique Leader,66524
16425,Senior Engineer,53045
16438,Senior Engineer,52449
16446,Senior Staff,94600
16447,Senior Engineer,40000
16448,Senior Engineer,76979
16453,Senior Staff,47433
16471,Staff,44976
16478,Senior Staff,40000
16479,Senior Staff,62446
16486,Senior Staff,57496
16487,Senior Staff,73302
16490,Senior Staff,85462
16491,Senior Staff,40000
16500,Senior Staff,46887
16504,Senior Engineer,40000
16510,Senior Staff,40000
16537,Senior Engineer,40000
16539,Senior Engineer,40000
16546,Senior Engineer,47819
16549,Senior Staff,60531
16551,Senior Engineer,82980
16556,Senior Engineer,53954
16557,Senior Engineer,53197
16567,Senior Staff,40000
16570,Senior Engineer,46162
16580,Senior Engineer,40000
16607,Senior Staff,54558
16608,Engineer,40000
16619,Senior Engineer,40000
16657,Senior Engineer,63463
16658,Senior Staff,50917
16672,Senior Staff,55265
16674,Technique Leader,40000
16679,Engineer,40000
16683,Senior Engineer,60120
16706,Senior Engineer,63470
16716,Engineer,54270
16719,Senior Staff,40000
16723,Senior Staff,56932
16729,Senior Staff,51318
16731,Senior Engineer,48868
16733,Engineer,40000
16759,Senior Engineer,40000
16799,Senior Engineer,54405
16801,Senior Engineer,48932
16803,Engineer,50968
16806,Senior Staff,72405
16808,Senior Staff,87215
16832,Senior Engineer,51405
16851,Senior Staff,51771
16852,Senior Engineer,48864
16858,Senior Staff,67670
16862,Senior Engineer,40000
16864,Engineer,50361
16868,Staff,58292
16869,Senior Staff,40000
16871,Senior Engineer,55303
16875,Engineer,40000
16880,Technique Leader,40000
16885,Senior Staff,72252
16897,Technique Leader,57244
16910,Senior Engineer,57230
16919,Engineer,40184
16921,Senior Staff,71025
16929,Senior Engineer,52679
16954,Senior Staff,47943
16955,Senior Staff,74715
16969,Senior Engineer,49377
16986,Senior Engineer,61653
16988,Senior Staff,47878
16993,Senior Staff,57751
16996,Staff,77644
16999,Senior Staff,40000
17012,Senior Engineer,40000
17018,Senior Engineer,40000
17024,Senior Engineer,58181
17041,Senior Staff,40492
17046,Senior Engineer,44955
17047,Engineer,43113
17048,Senior Engineer,46913
17055,Senior Engineer,46654
17063,Senior Staff,91391
17066,Senior Engineer,59260
17068,Assistant Engineer,40000
17072,Senior Staff,40000
17076,Senior Engineer,60092
17078,Senior Staff,44442
17081,Senior Engineer,40846
17089,Senior Staff,67779
17097,Engineer,46803
17098,Senior Engineer,40000
17101,Senior Engineer,40173
17102,Staff,89793
17103,Senior Engineer,48187
17112,Engineer,40000
17120,Senior Staff,40000
17125,Senior Engineer,40000
17126,Senior Staff,40000
17140,Assistant Engineer,40000
17143,Senior Engineer,40000
17146,Staff,65674
17154,Staff,40000
17158,Senior Engineer,48426
17159,Senior Engineer,56346
17160,Senior Engineer,49824
17163,Senior Engineer,47086
17185,Senior Staff,75574
17199,Senior Staff,40000
17204,Senior Staff,40000
17215,Senior Engineer,47977
17220,Senior Engineer,45404
17222,Senior Engineer,54882
17224,Senior Engineer,40000
17235,Senior Engineer,40000
17236,Senior Engineer,75541
17245,Staff,81426
17260,Engineer,40000
17275,Senior Staff,46660
17277,Senior Engineer,40000
17280,Senior Engineer,69670
17285,Senior Staff,55174
17293,Senior Engineer,40000
17294,Senior Engineer,43785
17322,Technique Leader,46840
17326,Senior Engineer,40000
17327,Senior Staff,50152
17329,Senior Engineer,58239
17336,Senior Engineer,71761
17339,Engineer,58306
17340,Senior Staff,65863
17352,Senior Staff,71029
17355,Senior Engineer,40000
17361,Engineer,55784
17384,Senior Staff,55693
17387,Staff,49554
17396,Senior Engineer,40000
17397,Senior Engineer,40000
17412,Staff,43480
17416,Engineer,40000
17428,Staff,40000
17436,Senior Staff,79815
17448,Senior Engineer,40728
17468,Senior Staff,59122
17470,Senior Engineer,60901
17472,Senior Staff,40000
17478,Senior Staff,40000
17487,Engineer,40000
17489,Senior Staff,48368
17500,Technique Leader,44825
17505,Senior Engineer,63455
17507,Senior Staff,84985
17512,Engineer,40000
17516,Technique Leader,40090
17520,Senior Engineer,40000
17539,Senior Engineer,60576
17544,Senior Engineer,53927
17552,Senior Staff,45663
17556,Senior Staff,67047
17559,Senior Engineer,53573
17573,Senior Staff,77659
17576,Senior Engineer,40000
17582,Senior Engineer,44397
17584,Senior Staff,40000
17586,Senior Staff,40000
17589,Engineer,47493
17625,Engineer,47447
17629,Senior Staff,70592
17647,Senior Staff,75896
17657,Engineer,43935
17674,Senior Engineer,43044
17677,Senior Engineer,40000
17681,Senior Staff,67824
17683,Senior Staff,54891
17688,Senior Engineer,45880
17695,Staff,71240
17696,Senior Engineer,40000
17699,Senior Engineer,48618
17702,Engineer,40000
17704,Senior Staff,40000
17705,Technique Leader,50346
17711,Engineer,49277
17716,Senior Engineer,40000
17727,Senior Staff,40000
17728,Staff,57162
17742,Senior Staff,52300
17745,Senior Engineer,40000
17778,Senior Staff,40000
17791,Senior Staff,46451
17796,Staff,67933
17798,Senior Staff,83096
17807,Senior Engineer,40000
17815,Engineer,40000
17816,Senior Engineer,74497
17834,Senior Engineer,40000
17840,Senior Engineer,66948
17841,Senior Engineer,40000
17849,Senior Staff,40000
17869,Assistant Engineer,40000
17871,Senior Engineer,48561
17874,Senior Staff,75424
17891,Senior Engineer,44505
17900,Senior Engineer,40000
17907,Senior Staff,69291
